Date,Location,Model,Fatalities,lon,lat
"Apr 25, 2012 at 1730 LT","Muaritan, West Kalimantan",Pilatus PC-6 Turbo Porter,2,NA,NA
"Jun 30, 2015 at 1150 LT","Medan-Soewondo AFB, North Sumatra",Lockheed C-130 Hercules,142,98.6764964,3.5633018
"Jun 25, 2015 at 1405 LT","Ella Lake, Alaska",De Havilland DHC-3 Otter,9,-131.1150152,55.4713014
"Jun 25, 2015 at 1309 LT","Okcheon, North Chungcheong (충청북도)",Antonov AN-2,0,127.5712809,36.3063646
"Jun 20, 2015 at 1256 LT","Nuquí, Chocó",Cessna 303 Crusader,1,-77.2666969,5.709563
"Jun 16, 2015 at 1900 LT","Aktau, Mangystau",Boeing 737-300,0,51.1985113,43.6410973
"Jun 15, 2015 at 0805 LT","Rostov-on-Don, Rostov oblast",PZL-Mielec AN-2,0,39.701505,47.2357137
"Jun 8, 2015 at 2123 LT","Karaikal, Tamil Nadu",Dornier DO228,3,79.8380056,10.9254398
"Dec 17, 2011 at 0740 LT","Abmisibil, Special Region of Papua",PAC 750XL - Pacific Aerospace Corporation,2,NA,NA
"Jun 7, 2015 at 1520 LT","Belo Horizonte, Minas Gerais",Beechcraft King Air 90,3,-43.9352376,-19.9245018
"Jun 2, 2015 at 1435 LT","Santiago de Querétaro, Querétaro",Swearingen SA226AC Metro II,5,-100.3898881,20.5887932
"May 30, 2015","Bethel, Alaska",Cessna 207 Skywagon,1,-161.7558334,60.7922222
"May 24, 2015 at 0040 LT","Ricaurte, Cojedes",Embraer EMB-820 Navajo,2,-68.643955,9.3804077
"May 21, 2015","Monterrey-Del Norte, Nuevo León",Cessna 421 Golden Eagle,0,-100.303487,25.7123781
"May 20, 2015","Puerto Colombia, Atlántico",Hawker 800XP,4,-74.950761,11.001004
"May 19, 2015","Mandeng, Upper Nile (أعالي النيل)",Cessna 208 Caravan,0,31.6599369,9.5508577
"May 18, 2015 at 0900 LT","Sanamer, Stavropol Krai",PZL-Mielec AN-2,0,42.8532769,44.073912
"May 16, 2015 at 1520 LT","Baltic Sea, World",PZL-Mielec AN-2,2,19.863281,58.487952
"May 10, 2015 at 1433 LT","Azov, Rostov oblast",PZL-Mielec AN-2,0,39.4136552,47.0947446
"May 10, 2015 at 1157 LT","Fuzhou, Fujian",Xian MA60,0,119.296482,26.074478
"May 9, 2015 at 1257 LT","Seville, Andalusia",Airbus A400M,4,-5.9844589,37.3890924
"Apr 28, 2015 at 1455 LT","Inarizaki, Shikoku",Shin Meiwa US-2,0,133.0176765,32.7615116
"Apr 25, 2015 at 1710 LT","Maracaibo, Zulia",Beechcraft Super King Air 200,0,-71.7147951,10.6544509
"Apr 25, 2015 at 1041 LT","Istanbul-Atatürk, Marmara Region (Marmara Bölgesi)",Airbus A320,0,28.8104425,40.9829888
"Apr 14, 2015 at 2005 LT","Hiroshima, Chūgoku",Airbus A320,0,132.4552927,34.3852029
"Apr 13, 2015 at 0708 LT","Mount Seymour, British Columbia",Swearingen SA226AC Metro II,2,-122.9444444,49.3933333
"Apr 12, 2015 at 1630 LT","Fort Lauderdale-Hollywood, Florida",Piper PA-31 Cheyenne,4,-80.1651315,26.0347664
"Apr 7, 2015 at 0010 LT","Bloomington, Illinois",Cessna 414 Chancellor,7,-88.9936873,40.4842027
"Apr 3, 2015","Barneo, Russia",Antonov AN-74,0,39.7200268,43.5844967
"Mar 29, 2015 at 0040 LT","Halifax, Nova Scotia",Airbus A320,0,-63.5752387,44.6487635
"Mar 25, 2015 at 0046 LT","Promin, Volyn Oblast",PZL-Mielec AN-2,2,25.2953483,50.6492939
"Mar 24, 2015 at 2208 LT","Dabolim, Goa",Dornier DO228,2,73.8507279,15.3900526
"Mar 24, 2015 at 1520 LT","Verdigris, Oklahoma",Cessna 208B Grand Caravan,0,-95.6910927,36.2348197
"Mar 24, 2015 at 1041 LT","Prads-Haute-Bléone, Alpes-de-Haute-Provence",Airbus A320,150,6.442807,44.219812
"Mar 19, 2015 at 2037 LT","Punta del Este, Maldonado",Beechcraft King Air 90,10,-54.9281496,-34.9368789
"Mar 5, 2015 at 1930 LT","Ancona, Marche",Let 410UVP,0,13.518915,43.6158299
"Mar 5, 2015 at 1103 LT","New York-LaGuardia, New York",McDonnell Douglas MD-88,0,-73.8739659,40.7769271
"Jul 25, 2017 at 1748 LT","Eteringbang, Guyana",Britten-Norman Islander,1,NA,NA
"Mar 4, 2015 at 0744 LT","Kathmandu, Bagmati",Airbus A330,0,85.3239605,27.7172453
"Mar 1, 2015 at 1615 LT","Marco Island, Florida",Canadair CL-601 Challenger,0,-81.7075355,25.9397412
"Feb 22, 2015 at 1405 LT","Spokane-Felts Field, Washington",Piper PA-46 Malibu Meridian (Malibu Mirage),1,-117.319984,47.6805341
"Feb 14, 2015 at 2058 LT","Malanje, Malanje",Antonov AN-32,0,16.3346061,-9.5418224
"Feb 11, 2015 at 1415 LT","Kendall-Tamiami, Florida",Beechcraft 1900C,4,-80.4291937,25.649151
"Feb 4, 2015 at 2110 LT","Denton, Texas",Cessna 441 Conquest,1,-97.1330683,33.2148412
"Feb 4, 2015 at 1054 LT","Taipei-Songshan, Taipei City (臺北市)",ATR72-600,43,121.5638621,25.0541591
"Jan 29, 2015","Oranjestad, Dutch Antilles",Canadair CL-601 Challenger,3,-62.9764978,17.4867485
"Apr 12, 2017 at 1245 LT","Oksibil, Special Region of Papua",Cessna 208 Caravan,1,NA,NA
"Jan 18, 2015","Abu Adh Dhuhur, Idlib Governorate (مُحافظة ادلب‎)",Antonov AN-26,30,37.0480843,35.7369445
"Jan 17, 2015 at 1353 LT","Tacloban, Leyte",Canadair Global Express,0,124.9616867,11.2543388
"Jan 16, 2015","Los Roques, Los Roques Federal Dependencies",Britten-Norman Islander,0,-66.7665377,11.8566815
"Jan 10, 2015 at 1105 LT","Accra, Greater Accra",Boeing 737-400,0,-0.1869644,5.6037168
"Jan 7, 2015 at 1215 LT","Taupo, Waikato Regional Council",PAC 750XL - Pacific Aerospace Corporation,0,176.07177,-38.686879
"Jan 3, 2015 at 1119 LT","Magadan, Magadan oblast",Antonov AN-26,0,150.8301413,59.5611525
"Jan 2, 2015 at 0833 LT","Stornoway, Hebrides Islands",Saab 340,0,-6.3848692,58.209435
"Dec 30, 2014 at 0430 LT","Denver-Centennial, Colorado",Cessna 404 Titan,1,-104.8771726,39.5807452
"Dec 28, 2014 at 1145 LT","Mahdia, Guyana",Britten-Norman Islander,2,-59.1421073,5.288172
"Dec 28, 2014 at 0618 LT","Java Sea, Indonesia",Airbus A320,162,112.17041,-5.090944
"Dec 28, 2014 at 0300 LT","Uvira, Sud-Kivu",Antonov AN-26,6,29.1448793,-3.3728836
"Dec 24, 2014","Piedecuesta, Santander",Cessna 207 Skywagon,7,-73.053998,6.991539
"Dec 23, 2014","La Bonanza, Miranda",Partenavia P.68,1,-66.9023234,10.288297
"Dec 19, 2014","Champotón, Campeche",Learjet 25,2,-90.7200237,19.3471645
"Dec 12, 2014 at 1500 LT","Obo, Haut-Mbomou",Antonov AN-26,0,26.4916731,5.3956496
"Dec 12, 2014 at 0620 LT","Hokandara, Western Province (மேல் மாகாணம்)",Antonov AN-32,5,79.9696277,6.8743192
"Dec 8, 2014 at 1045 LT","Gaithersburg, Maryland",Embraer EMB-500 Phenom 100,6,-77.2013705,39.1434406
"Dec 3, 2014","Mariquita, Tolima",Piper PA-31-350 Navajo Chieftain,10,-74.886835,5.199505
"Dec 2, 2014 at 0850 LT","Nassau, New Providence",Piper PA-31-350 Navajo Chieftain,1,-77.355413,25.0479835
"Nov 27, 2014","Teniente Rodolfo Marsh (King George Island), Antarctica",Lockheed C-130 Hercules,0,-58.985989,-62.1911509
"Nov 23, 2014 at 0951 LT","McDade, Texas",Rockwell Aero Commander 500,1,-97.237769,30.2838227
"Nov 21, 2014 at 1010 LT","Houston-Sugar Land, Texas",Embraer EMB-500 Phenom 100,0,-95.6485833,29.610808
"Nov 20, 2014 at 1430 LT","Lima, Lima",Cessna 207 Skywagon,3,-77.0427934,-12.046374
"Nov 20, 2014 at 0720 LT","Great Slave Lake, Northwest Territories",Cessna 208B Grand Caravan,0,-115.087568,61.4517555
"Nov 18, 2014 at 0242 LT","Chicago-Midway, Illinois",Rockwell Aero Commander 500,1,-87.7521884,41.7867759
"Nov 17, 2014 at 1728 LT","Fulton, Missouri",Cessna 401,0,-91.9479586,38.8467082
"Nov 14, 2014 at 1730 LT","Hidalgo, Tamaulipas",Piper PA-31-350 Navajo Chieftain,6,-99.4354373,24.2456184
"Nov 14, 2014 at 1300 LT","Ohai, Southland Regional Council",Fletcher FU-24,0,168.3466179,-46.3799887
"Nov 14, 2014 at 1020 LT","Panyagor, Jonglei (جونقلي)",Avro 748,2,31.4157958,7.3331109
"Nov 9, 2014 at 1710 LT","Freeport, West Grand Bahama",Learjet 35,9,-78.6455475,26.5416093
"Oct 30, 2014 at 0948 LT","Wichita, Kansas",Beechcraft Super King Air 200,4,-97.330053,37.6871761
"Oct 29, 2014 at 1835 LT","Saint Martin, Dutch Antilles",Short 360,2,-63.05483,18.04248
"Oct 25, 2014 at 1400 LT","Shabunda, Sud-Kivu",Let 410UVP,0,27.3440192,-2.694269
"Oct 20, 2014 at 2357 LT","Moscow-Vnukovo, Moscow oblast",Dassault Falcon 50,4,37.2712341,55.599648
"Oct 12, 2014 at 2025 LT","Punta Cana, La Altagracia",BAe Jetstream 31,0,-68.4054729,18.5820101
"Oct 12, 2014 at 1920 LT","Zahedan, Sistan and Baluchestan",Rockwell Grand Commander 690,7,60.8841983,29.451926
"Oct 10, 2014 at 1000 LT","Los Roques, Los Roques Federal Dependencies",Rockwell Gulfstream Jetprop 840,0,-66.7665377,11.8566815
"Sep 21, 2014","Kawm Ushim, Faiyum",Lockheed C-130 Hercules,6,30.88,29.55
"Sep 20, 2014 at 2130 LT","Chandigarh, Chandigarh",Antonov AN-32,0,76.7794179,30.7333148
"Sep 20, 2014 at 0945 LT","Port Moresby, National Capital District",De Havilland DHC-6 Twin Otter,4,147.1506542,-9.4780123
"Sep 14, 2014 at 1500 LT","Buenos Aires, Buenos Aires City",Beechcraft Super King Air 300,2,-58.3815591,-34.6036844
"Sep 6, 2014 at 1450 LT","Araracuara, Caquetá",Piper PA-31-350 Navajo Chieftain,10,-72.3962907,-0.6013888
"Sep 6, 2014 at 1030 LT","Mogadishu, Banaadir (بنادر‎)",Fokker 50,0,45.3181623,2.0469343
"Sep 5, 2014 at 1420 LT","Port Antonio, Portland",Socata TBM-900,2,-76.4476321,18.1712764
"Aug 31, 2014 at 1945 LT","Kogatende, Mara Region",Fokker F27 Friendship,3,34.8855722,-1.5656036
"Aug 30, 2014 at 0244 LT","Tamanrasset, Tamanghasset",Antonov AN-12,7,5.5258107,22.7888209
"Aug 27, 2014 at 1845 LT","Las Cruces, New Mexico",Cessna 421C Golden Eagle III,4,-106.7636538,32.3199396
"Aug 12, 2015 at 0845 LT","Ninia, Special Region of Papua",PAC 750XL - Pacific Aerospace Corporation,1,NA,NA
"Aug 16, 2014 at 0500 LT","Grand Manan Islands, New Brunswick",Piper PA-31-310 Navajo,2,-66.8157713,44.7063915
"Aug 15, 2014 at 1544 LT","Bowie, Texas",Cessna 414 Chancellor,2,-97.8486457,33.5589953
"Aug 13, 2014 at 1000 LT","Santos, São Paulo",Cessna 560XLS Citation Excel,7,-46.3264089,-23.9561304
"Aug 10, 2014 at 0918 LT","Tehran, Tehran City District",HESA IrAn-140-100,39,51.3889736,35.6891975
"Aug 6, 2014 at 1030 LT","Saint-Jean-les-Deux-Jumeaux, Seine-et-Marne",Socata TBM-700,3,3.018301,48.9514039
"Aug 6, 2014","Prototskiye, Krasnodar Krai",PZL-Mielec AN-2,0,38.0794682,45.5173116
"Jul 28, 2014 at 1500 LT","Foz do Iguaçu, Paraná",Embraer EMB-110 Bandeirante,0,-54.5853764,-25.5163356
"Jul 24, 2014 at 0147 LT","Gossi, Tombouctou",McDonnell Douglas MD-83,116,-1.3011431,15.822218
"Jul 23, 2014 at 1906 LT","Makung, Penghu County (澎湖縣)",ATR72-500,48,119.5774616,23.5706269
"Jul 22, 2014","Herat, Herat",Lockheed C-130 Hercules,0,62.2040287,34.352865
"Jul 19, 2014","Gulgubip, Western (Fly)",PAC 750XL - Pacific Aerospace Corporation,0,77.1297322,28.6740249
"Jul 17, 2014 at 1619 LT","Shakhtarsk, Donetsk Oblast",Boeing 777-200,298,38.45053,48.0486753
"Jul 14, 2014 at 1200 LT","Donetsk, Donetsk Oblast",Antonov AN-26,2,37.80285,48.015883
"Jul 11, 2014 at 1550 LT","Saint John Harbour, British Columbia",De Havilland DHC-2 Beaver,0,-66.0320509,45.2539022
"Jul 6, 2014 at 1630 LT","Chirundu, Southern",Britten-Norman Islander,0,28.8509415,-16.0271099
"Jul 6, 2014 at 0950 LT","Monkey Mountain, Guyana",Britten-Norman Islander,0,-59.683333,4.483333
"Jul 5, 2014 at 1618 LT","Częstochowa, Silesian Voivodeship (Śląskie)",Piper PA-31-350 Navajo Chieftain,11,19.1203094,50.8118195
"Jul 2, 2014 at 0400 LT","Nairobi, Nairobi City District",Fokker 50,4,36.8219462,-1.2920659
"Jun 26, 2014 at 0445 LT","Creve Coeur, Missouri",Cessna 414 Chancellor,0,-90.422618,38.6608855
"Jun 23, 2014 at 1530 LT","Olsberg, North Rhine-Westphalia",Learjet 35,2,8.4801828,51.3556649
"Jun 18, 2014 at 1421 LT","Huntsville, Alabama",IAI 1124 Westwind,3,-86.5861037,34.7303688
"Jun 17, 2014 at 1730 LT","Lost Trail, Montana",Grumman G-21A Goose,1,-113.9501248,45.6935102
"Jun 17, 2014 at 1030 LT","Lydenburg, Mpumalanga",Cessna 208 Caravan,3,30.447285,-25.0815817
"Jun 14, 2014 at 0110 LT","Luhansk, Luhansk Oblast",Ilyushin II-76,49,39.307815,48.574041
"Jun 13, 2014","Aruanã, Goiás",Cessna 525 CJ1,0,-51.075466,-14.9170433
"Jun 8, 2014 at 1130 LT","Olsztyn, Warmian-Masurian Voivodeship (Warmińsko-Mazurskie)",PZL-Mielec AN-2,0,20.4801192,53.778422
"Jun 7, 2014 at 1440 LT","Rybinsk, Yaroslavl oblast",PZL-Mielec AN-2,1,38.8116968,58.057486
"Jun 6, 2014","Drobyshevo, Donetsk Oblast",Antonov AN-30,5,37.7259992,49.0406387
"Jun 3, 2014 at 1425 LT","Moscow-Sheremetyevo, Moscow oblast",Ilyushin II-96,0,37.412503,55.9736482
"Jun 2, 2014 at 1700 LT","Bahía Solano, Chocó",Beechcraft Super King Air 200,0,-77.401154,6.222552
"May 31, 2014 at 2142 LT","Bedford, Massachusetts",Gulfstream GIV,7,-71.2760089,42.4906231
"May 27, 2014 at 1245 LT","Carmelo, Colonia",Beechcraft Super King Air 200,5,-58.2861542,-33.9953859
"May 17, 2014 at 1000 LT","Fort Huachuca, Arizona",Rockwell Aero Commander 500,0,-110.3499216,31.5552157
"May 17, 2014 at 0700 LT","Xiang Khouang, Xiang Khouang Province",Antonov AN-74TK-300,16,103.7289167,19.6093003
"May 12, 2014","El Wak, North Eastern",Harbin Yunsunji Y-12,1,-73.9246944,40.8180267
"May 10, 2014 at 1539 LT","Page, Arizona",Cessna 207 Skywagon,1,-111.4558333,36.9147222
"May 9, 2014 at 1630 LT","Terbuny, Lipetsk oblast",PZL-Mielec AN-2,0,38.2779212,52.1513058
"May 8, 2014 at 1704 LT","Kabul, Kabul",Boeing 737-400,0,69.207486,34.5553494
"May 8, 2014 at 1202 LT","San Vincente del Caguán, Caquetá",Douglas DC-3,5,-74.7732056,2.1136446
"May 4, 2014 at 1200 LT","Bucaramanga, Santander",Piper PA-31-350 Navajo Chieftain,2,-73.1227416,7.119349
"Apr 29, 2014 at 0226 LT","East Midlands, Leicestershire",Boeing 737-400,0,-1.2052126,52.772571
"Apr 27, 2014","Deán Funes, Córdoba",Piper PA-31-350 Navajo Chieftain,0,-64.349403,-30.4240924
"Apr 26, 2014 at 1128 LT","Spruce Creek, Florida",Cessna 525 CJ3,0,-81.046667,29.080167
"Apr 20, 2014 at 1530 LT","Jämijärvi, Satakunta",Comp Air CA-8,8,22.6228262,61.8327572
"Apr 20, 2014","Guriceel, Galgaduud (جلجدود‎)",Fokker 50,0,45.8802073,5.303435
"Apr 19, 2014 at 1945 LT","Saltillo, Coahuila",BAe 125,8,-100.9954254,25.4267244
"Aug 9, 2015 at 1415 LT","Barkárdal, Northeastern Region (Norðurland eystra)",De Havilland DHC-2 Beaver,1,NA,NA
"Apr 8, 2014 at 1830 LT","Bethel, Alaska",Cessna 208B Grand Caravan,2,-161.7558334,60.7922222
"Mar 28, 2014","Gwalior, Madhya Pradesh",Lockheed C-130 Hercules,5,78.1828308,26.2182871
"Mar 27, 2014 at 1130 LT","Chandigarh, Chandigarh",Beechcraft Super King Air 200,0,76.7794179,30.7333148
"Mar 22, 2014 at 1400 LT","Montrose, Colorado",Socata TBM-700,5,-107.8761738,38.4783198
"Mar 14, 2014 at 1730 LT","Stuart, Florida",Cessna 402,0,-80.2528257,27.197548
"Mar 12, 2014 at 0620 LT","Villavicencio, Meta",Beechcraft King Air 90,5,-73.6376905,4.1513822
"Mar 8, 2014 at 0130 LT","Indian Ocean, World",Boeing 777-200,239,81.826172,-33.137551
"Mar 3, 2014 at 1846 LT","Kish Island, Hormozgān",Dassault Falcon 20,4,53.9867949,26.5324775
"Mar 3, 2014","Guasdualito, Apure",Beechcraft King Air 90,0,-70.704952,7.2397806
"Mar 2, 2014 at 1415 LT","Masila, Hadhramaut (حضرموت)",Antonov AN-26,0,49.1362247,15.5896632
"Feb 27, 2014 at 0545 LT","Panda Ranch (Molokai), Hawaii",Partenavia P.68,0,-157.2593951,21.148854
"Feb 26, 2014 at 2105 LT","Lanai, Hawaii",Piper PA-31-350 Navajo Chieftain,3,-156.9273193,20.8165975
"Feb 25, 2014 at 1000 LT","Lukapa, Lunda Norte",Embraer EMB-120 Brasília,0,20.7301263,-8.4432485
"Feb 21, 2014 at 0130 LT","Grombalia, Nabeul Governorate (ولاية نابل‎)",Antonov AN-26,11,10.5014909,36.6024831
"Feb 19, 2014 at 0835 LT","Pearland, Texas",Beechcraft King Air 100,1,-95.2860474,29.5635666
"Feb 17, 2014","Rubkona, Unity (الوحدة)",Avro 748,1,29.7802409,9.2801507
"Feb 16, 2014 at 1315 LT","Arghakhanchi, Lumbini",De Havilland DHC-6 Twin Otter,18,83.0361376,27.9829269
"Feb 15, 2014 at 1640 LT","Stella Maris, Long Island",Cessna 501 Citation I,0,-75.2661355,23.5930707
"Feb 11, 2014 at 1138 LT","Aïn Kercha, Oum el-Bouaghi",Lockheed C-130 Hercules,76,6.6905458,35.9302835
"Feb 4, 2014 at 0600 LT","Otane, Hawke's Bay Regional Council",PAC Cresco 08-600,0,176.9168971,-39.4933334
"Feb 3, 2014 at 1657 LT","Bellevue, Tennessee",Rockwell Gulfstream Jetprop 840,4,-86.9624086,36.0727326
"Feb 3, 2014 at 0700 LT","Lanseria, Gauteng",Beechcraft King Air 90,3,27.9263647,-25.9400168
"Jan 29, 2014 at 0843 LT","Ilulissat, Qaasuitsup Kommunia",De Havilland Dash-8-200,0,-51.0986031,69.2198118
"Jan 28, 2014 at 0731 LT","Paris-Roissy-CDG, Val-d'Oise",Saab 2000,0,2.5479245,49.0096906
"Jan 27, 2014 at 1730 LT","Columbia, California",Beechcraft King Air 90,0,-120.4013061,38.0363119
"Jan 26, 2014 at 1130 LT","Honiara, Solomon Islands",Boeing 737-300,0,159.9728999,-9.4456381
"Jan 20, 2014 at 1600 LT","Petreasa, Alba",Britten-Norman Islander,2,22.9424224,46.5361053
"Jan 20, 2014 at 0935 LT","Addis Ababa, Addis Ababa City District",PZL-Mielec AN-28,0,38.7577605,8.9806034
"Jan 19, 2014 at 1000 LT","Tual, Maluku",Piper PA-31-350 Navajo Chieftain,4,132.3446399,-5.5680317
"Jan 18, 2014 at 1056 LT","Olive Creek, Guyana",Cessna 208B Grand Caravan,2,-60.1470566,6.2160595
"Jan 18, 2014 at 0430 LT","Saltillo, Coahuila",Douglas DC-9,0,-100.9954254,25.4267244
"Jan 11, 2014 at 1200 LT","Trier-Föhren, Rhineland-Palatinate",Cessna 501 Citation I,4,6.7862758,49.8633681
"Jan 9, 2014","Afghanistan, Afghanistan",Beechcraft Super King Air 300,3,67.709953,33.93911
"Jan 6, 2014 at 1508 LT","Cayenne, French Guyana",Gippsland GA8 Airvan,0,-52.3134531,4.92242
"Jan 5, 2014 at 1222 LT","Aspen, Colorado",Canadair CL-601 Challenger,1,-106.8175387,39.1910983
"Dec 26, 2013 at 2130 LT","Irkutsk, Irkutsk oblast",Antonov AN-12,9,104.3050183,52.2869741
"Dec 19, 2013 at 2100 LT","Viña del Mar, Región de Valparaíso",Beechcraft King Air 90,0,-71.5500276,-33.0153481
"Dec 17, 2013 at 1925 LT","Atlanta, Georgia",Raytheon 390 Premier I,2,-84.3879824,33.7489954
"Dec 14, 2013 at 1425 LT","Tofino, British Columbia",Cessna 421B Golden Eagle II,2,-125.9066184,49.1529842
"Dec 11, 2013 at 1545 LT","Kalaupapa, Hawaii",Cessna 208B Grand Caravan,1,-156.9818053,21.1893014
"Dec 4, 2013 at 2119 LT","Abuja, Abuja Federal Capital Territory",Boeing 747-200,0,7.398574,9.0764785
"Dec 4, 2013","Pukanu, Pará",Britten-Norman Islander,5,-57.5220108,-25.1024668
"Dec 3, 2013 at 0940 LT","Crescent City, Florida",Rockwell Grand Commander 680,0,-81.5106288,29.4302514
"Dec 2, 2013 at 2010 LT","Sabana Hoyos, Puerto Rico",Swearingen SA227AC Metro III,2,-66.6057378,18.3691778
"Jun 8, 2015 at 1700 LT","Ukrainka AFB, Amur oblast",Tupolev TU-95,1,NA,NA
"Nov 29, 2013 at 1824 LT","Saint Mary's, Alaska",Cessna 208B Grand Caravan,4,-163.1658333,62.0530556
"Nov 29, 2013 at 1230 LT","Divundu, Kavango Region",Embraer ERJ-190,33,21.5483207,-18.0971147
"Nov 25, 2013 at 1330 LT","Kibeni, Gulf",Cessna 208B Grand Caravan,3,143.8,-7.416667
"Nov 19, 2013 at 1956 LT","Fort Lauderdale-Hollywood, Florida",Learjet 35,4,-80.1651315,26.0347664
"Nov 19, 2013 at 1115 LT","Mouffy, Yonne",Socata TBM-700,6,3.514373,47.652129
"Nov 18, 2013 at 1120 LT","Xalapa, Veracruz",Cessna 414 Chancellor,2,-96.9101806,19.5437751
"Nov 17, 2013 at 1925 LT","Kazan, Republic of Tatarstan",Boeing 737-500,50,49.0660806,55.8304307
"Nov 10, 2013 at 1834 LT","Red Lake, Ontario",Swearingen SA227AC Metro III,5,-93.828916,51.0145968
"Nov 10, 2013 at 1546 LT","Owasso, Oklahoma",Mitsubishi MU-2 Marquise,1,-95.8547119,36.2695388
"Nov 3, 2013 at 1556 LT","Riberalta, Beni",Swearingen SA227AC Metro III,8,-66.058249,-11.0073376
"Nov 1, 2013 at 1742 LT","Springdale, Arkansas",Beechcraft King Air 90,2,-94.1288141,36.1867442
"Oct 26, 2013 at 0000 LT","Tayozhny, Krasnoyarsk Krai",PZL-Mielec AN-2,2,97.3119176,58.0737044
"Oct 25, 2013 at 0120 LT","Paris-Roissy-CDG, Val-d'Oise",Fokker F27 Friendship,0,2.5479245,49.0096906
"Oct 19, 2013 at 1539 LT","Namur, Namur",Pilatus PC-6 Turbo Porter,11,4.8719854,50.4673883
"Oct 19, 2013 at 1149 LT","Balesin, Quezon",BAe 146,0,122.0354438,14.4254839
"Oct 19, 2013 at 0900 LT","Madang, Madang",ATR42-300,0,145.7856324,-5.2218841
"Oct 18, 2013 at 1017 LT","Derby, Kansas",Cessna 500 Citation,2,-97.2689331,37.5455735
"Oct 16, 2013 at 1555 LT","Pakse, Champasak Province",ATR72-600,49,105.8172881,15.1105068
"Oct 14, 2013","Loreto, Baja California Sur",Cessna 208B Grand Caravan,14,-111.3477531,26.0117564
"Oct 10, 2013 at 1450 LT","Kudat, Sabah",De Havilland DHC-6 Twin Otter,2,116.8253111,6.88684
"Oct 10, 2013 at 0440 LT","Skulyn, Volyn Oblast",PZL-Mielec AN-2,2,24.8880791,51.2804572
"Oct 6, 2013 at 1425 LT","Sevryukovo, Bryansk oblast",PZL-Mielec AN-2,0,34.0577442,53.285093
"Oct 6, 2013 at 0605 LT","Culebra, Puerto Rico",Britten-Norman Islander,1,-65.3030705,18.310394
"Oct 5, 2013 at 0100 LT","Acandí, Chocó",De Havilland Dash-8-200,4,-77.27898,8.510109
"Oct 3, 2013 at 0932 LT","Lagos, Lagos",Embraer EMB-120 Brasília,16,3.3792057,6.5243793
"Sep 29, 2013 at 1820 LT","Santa Monica, California",Cessna 525 CJ2,4,-118.4911912,34.0194543
"Sep 25, 2013 at 1400 LT","Hudson Bay, Canada",Cessna 208B Grand Caravan,1,-97.1498464,49.8905444
"Sep 24, 2013 at 1040 LT","Lyon-Bron, Rhône",Cessna 421C Golden Eagle III,4,4.911927,45.733316
"Sep 19, 2013 at 1553 LT","Idaho Falls, Idaho",Beechcraft King Air 90,0,-112.0339645,43.4916514
"Sep 18, 2013 at 1213 LT","Zelenoborsk, Khantia-Mansia okrug",PZL-Mielec AN-2,0,64.0436685,61.4688953
"Sep 9, 2013 at 0950 LT","Viña del Mar, Región de Valparaíso",Dornier DO228,2,-71.5500276,-33.0153481
"Sep 8, 2013 at 1030 LT","Doylestown, Pennsylvania",Piper PA-31-350 Navajo Chieftain,0,-75.1298939,40.3101063
"Sep 4, 2013 at 1020 LT","Jersey, Channel Islands",Cessna 303 Crusader,2,-2.13125,49.214439
"Sep 4, 2013 at 0755 LT","Colorado Springs, Colorado",Cessna 207 Skywagon,0,-104.8213634,38.8338816
"Aug 27, 2013 at 1120 LT","Paris, Illinois",Cessna 421C Golden Eagle III,1,-87.6961374,39.611146
"Aug 25, 2013 at 1604 LT","Guriceel, Galgaduud (جلجدود‎)",Antonov AN-26,0,45.8802073,5.303435
"Aug 22, 2013 at 1200 LT","Lake Manyara, Manyara",Beechcraft Super King Air 200,0,35.8061779,-3.6190593
"Aug 22, 2013","Ivanhoe Lake, Northwest Territories",De Havilland DHC-3 Otter,1,-106.4832585,60.467374
"Aug 19, 2013 at 1711 LT","Yellowknife, Northwest Territories",Douglas DC-3,0,-114.3717887,62.4539717
"Aug 16, 2013 at 1023 LT","Hesquiat Lake, British Columbia",De Havilland DHC-2 Beaver,2,-126.3913352,49.5096522
"Aug 16, 2013","Vilyuisk, Republic of Yakutia (Sakha)",PZL-Mielec AN-2,0,121.6276667,63.7464403
"Aug 14, 2013 at 0451 LT","Birmingham, Alabama",Airbus A300-600,2,-86.80249,33.5206608
"Aug 12, 2013 at 1130 LT","Canons Ashby, Northamptonshire",De Havilland DH.60 Moth,0,-1.157364,52.149338
"Aug 9, 2013 at 1125 LT","New Haven, Connecticut",Rockwell Grand Commander 690,4,-72.9278835,41.308274
"Aug 9, 2013 at 0800 LT","Mogadishu, Banaadir (بنادر‎)",Antonov AN-12,4,45.3181623,2.0469343
"Aug 9, 2013 at 0208 LT","Leipzig, Saxony",Antonov AN-12,0,12.3730747,51.3396955
"Aug 8, 2013 at 0940 LT","Clermont-Ferrand, Puy-de-Dôme",Socata TBM-850,3,3.087025,45.777222
"Aug 6, 2013","Danfeng, Shaanxi",Shijiazhuang Yunsunji Y-5,1,110.327331,33.695783
"Aug 5, 2013 at 1329 LT","Akureyri, Northeastern Region (Norðurland eystra)",Beechcraft Super King Air 200,2,-18.1261694,65.6884921
"Aug 2, 2013 at 0915 LT","Mount Nicholas, Otago Regional Council",Cessna 207 Skywagon,0,168.6612987,-45.0315594
